0	N0CALL
1140892	FRS0892	Olivier
1140893	FRS0893	J.David
1140894	FRS0894	James
1140895	FRS0895	David
1140896	FRS0896	Philippe
1140897	FRS0897	Luka
1140898	FRS0898	Florian
1140899	FRS0899	Franck
1140900	FRS0900	Eric
1140901	FRS0901	J.Charles
1140902	FRS0902	Stephane
1140903	FRS0903	Vincent
1140904	FRS0904	Adrien
1140905	FRS0905	Guy
1140906	FRS0906	Andre
1140907	FRS0907	Thibaut
1140908	FRS0908	Lucien
1140909	FRS0909	Kylian
1140910	FRS0910	J.Pierre
1140911	FRS0911	Kader
1140912	FRS0912	P.Philippe
1140913	FRS0913	Eric
1140914	FRS0914	Jerome
1140915	FRS0915	Cyril
1140916	FRS0916	J.Michel
1140917	FRS0917	Willy
1140918	FRS0918	J.Charles
1140919	FRS0919	Gilbert
1140920	FRS0920	Frederic
1140921	FRS0921	Alain
